46	13751	13742	13751-13742	626,4	3.587	8.915	15.704	28.861	30.455
47	13751	13762	13751-13762	333,8	2.968	8.976	17.615	35.244	36.884
48	13762	13751	13762-13751	333,8	2.968	8.976	17.615	35.244	36.884
49	13762	13861	13762-13861	378,6	3.186	9.311	17.714	34.222	37.593
50	13762	561503	13762-561503	321,9	3.078	9.129	17.977	39.712	38.736
51	13782	13791	13782-13791	510,1	3.112	8.690	17.841	47.203	44.705
52	13782	13881	13782-13881	325,3	2.803	7.938	15.958	41.886	39.745
53	13782	561501	13782-561501	198,4	2.187	7.201	15.060	40.845	37.229
54	13791	13782	13791-13782	510,1	3.112	8.690	17.841	47.203	44.705
55	13791	13881	13791-13881	605,2	3.390	9.420	18.770	48.650	45.948
56	13791	14701	13791-14701	453,2	2.837	8.549	17.256	45.326	43.404
57	13861	13762	13861-13762	378,6	3.186	9.311	17.714	34.222	37.593
58	13861	13871	13861-13871	488,9	3.731	10.142	18.672	36.555	36.950
59	13861	13962	13861-13962	535,1	3.475	8.452	14.717	27.552	31.289
60	13871	13861	13871-13861	488,9	3.731	10.142	18.672	36.555	36.950
61	13871	13882	13871-13882	402,8	3.314	9.043	16.712	37.587	38.198
62	13871	13971	13871-13971	544,3	3.724	9.957	18.393	36.139	36.961
63	13871	561502	13871-561502	727,8	4.738	12.589	23.287	51.324	46.808
64	13881	13782	13881-13782	325,3	2.803	7.938	15.958	41.886	39.745
65	13881	13791	13881-13791	605,2	3.390	9.420	18.770	48.650	45.948
66	13881	13882	13881-13882	182,1	2.260	6.688	13.466	34.893	35.030
67	13882	13871	13882-13871	402,8	3.314	9.043	16.712	37.587	38.198
68	13882	13881	13882-13881	182,1	2.260	6.688	13.466	34.893	35.030
69	13882	13891	13882-13891	744,7	3.370	9.293	18.236	46.013	45.011
70	13882	13981	13882-13981	578,9	3.939	9.506	17.280	40.139	41.307
71	13891	13882	13891-13882	744,7	3.370	9.293	18.236	46.013	45.011
72	13891	14701	13891-14701	595,1	3.013	8.564	16.993	45.519	44.007
73	13891	14801	13891-14801	412,8	2.343	6.838	13.680	37.891	37.605
74	13891	561477	13891-561477	300,2	1.523	5.166	11.446	33.494	34.192
75	13961	13742	13961-13742	1121	3.055	7.544	13.528	23.286	27.697
76	13961	13963	13961-13963	558,2	2.235	5.930	10.875	19.458	24.884
77	13961	23281	13961-23281	1817	1.238	4.759	11.022	20.273	29.569
78	13962	13961	13962-13961	230,9	1.299	4.019	8.070	14.931	20.006
79	13963	13982	13963-13982	705,3	3.540	9.525	16.550	32.694	34.773
80	13963	23081	13963-23081	818,7	3.980	10.712	18.943	34.180	36.903
81	13971	13871	13971-13871	544,3	3.724	9.957	18.393	36.139	36.961
82	13971	13962	13971-13962	499,1	2.967	7.584	13.542	26.395	28.524
83	13981	13882	13981-13882	578,9	3.939	9.506	17.280	40.139	41.307
84	13981	13971	13981-13971	520,2	3.247	8.918	16.475	33.373	34.611
85	13981	13982	13981-13982	160,6	1.857	6.010	12.334	29.176	31.684
86	13982	13981	13982-13981	160,6	1.857	6.010	12.334	29.176	31.684
87	13982	13993	13982-13993	613,4	3.275	8.512	16.309	37.666	39.660
88	13982	23081	13982-23081	399,8	2.702	8.398	16.412	32.104	34.102
89	13992	13981	13992-13981	618,5	3.166	8.402	16.013	37.858	39.814
90	13992	13993	13992-13993	162,5	1.362	4.846	10.654	29.751	31.886
91	13992	561477	13992-561477	231,2	1.453	4.901	10.897	31.133	32.393
92	13992	14901	13992-14901	405,2	2.008	6.033	12.593	35.078	34.874
93	13993	13992	13993-13992	162,5	1.362	4.846	10.654	29.751	31.886
